"method","kappa","accuracy","","method","kappa","accuracy"
"20 yr catch time series (n=2880)",,,,"60 yr catch time series (n=2879)",,
"SSP-2002",0.157582938388626,0.533680555555556,"","SSP-2013",0.0919252557630817,0.269885376866968
"cMSY",0.133370294362669,0.568055555555556,"","Zhou-BRT",0.0529019808713008,0.482459187217784
"SSP-2013",0.0724192018450437,0.278472222222222,"","cMSY",0.0430637994398698,0.456061132337617
"Zhou-OCOM",0.00494378252948337,0.485069444444444,"","Zhou-OCOM",0.0164627422720471,0.453977075373394
"Zhou-BRT",-0.00876500882239026,0.491319444444444,"","SSP-2002",0.0150993108668742,0.35012156998958
